step,Policy/Entropy,AngleStability,GroundCollision,Reward,Policy/Extrinsic Value Estimate,Environment/Episode Length,EpisodeLength,TargetsFound,PathEfficiency,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Policy Loss,Losses/Value Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Pretraining Loss
50000,2.632741928100586,0.46547722816467285,0.9733489155769348,-9.468998908996582,0.46321019530296326,4734.5,4735.5,0.25,0.16917389631271362,-12.876436233520508,-12.876436233520508,0.024231024086475372,0.00841366034001112,0.0002980721474159509,0.19935737550258636,0.004967933055013418,1.1901229619979858
100000,2.0813193321228027,0.5179387927055359,0.7447962760925293,-1.6041576862335205,0.28951647877693176,940.5094604492188,941.5094604492188,0.5283018946647644,0.23126505315303802,-8.19880485534668,-8.19880485534668,0.02255672961473465,0.05909452587366104,0.0002956101961899549,0.1985367238521576,0.004926982801407576,0.8527296781539917
150000,0.028021231293678284,0.4446704089641571,0.996859610080719,-619.5214233398438,-6.241174221038818,649.0,650.0,3.0,0.2598906457424164,-2.8521342277526855,-2.8521342277526855,0.023327751085162163,56.27119445800781,0.0002925279550254345,0.19750931859016418,0.0048757148906588554,0.5819046497344971
200000,-2.3841856489070778e-07,0.44446155428886414,1.0,-1878.83740234375,-15.672823905944824,317.1666564941406,318.1666564941406,0.3205128312110901,0.544429361820221,-4.034643650054932,-4.034643650054932,0.02161453664302826,109.8681869506836,0.00028943674988113344,0.1964789181947708,0.004824297968298197,0.4661695659160614
250000,-2.3841856489070778e-07,0.44446155428886414,1.0,-3136.563720703125,-16.80988121032715,921.88134765625,922.88134765625,1.7118643522262573,0.6104602813720703,0.08810737729072571,0.08810737729072571,0.024077944457530975,224.17185974121094,0.00028634557384066284,0.19544851779937744,0.004772881045937538,0.4257650673389435
300000,-2.3841856489070778e-07,0.44446155428886414,1.0,-4396.796875,-10.651145935058594,24919.0,24920.0,3.200000047683716,0.1325673609972,-32.402217864990234,-32.402217864990234,0.020780513063073158,492.8466796875,0.0002832543686963618,0.19441811740398407,0.0047214641235768795,0.4017264246940613
350000,-2.3841856489070778e-07,0.44446155428886414,1.0,-5665.49853515625,11.935489654541016,398.5793762207031,399.5793762207031,1.5158730745315552,0.6716334819793701,0.492632657289505,0.492632657289505,0.0201193168759346,507.17974853515625,0.0002804722753353417,0.19349075853824615,0.004675189033150673,0.38671258091926575
400000,-2.3841856489070778e-07,0.44446155428886414,1.0,-6935.435546875,-40.40988540649414,1715.2069091796875,1716.2069091796875,4.103448390960693,0.4193391799926758,6.6981000900268555,6.6981000900268555,0.023187292739748955,1253.3988037109375,0.00027769021107815206,0.19256339967250824,0.004628913477063179,0.3727334439754486
450000,-2.3841856489070778e-07,0.44446155428886414,1.0,-8205.373046875,-57.26021957397461,806.0,807.0,4.032258033752441,0.520995557308197,8.261301040649414,8.261301040649414,0.02164808101952076,51.285606384277344,0.000274599005933851,0.19153299927711487,0.00457749655470252,0.36120039224624634
500000,-2.3841856489070778e-07,0.44446155428886414,1.0,-9474.498046875,-53.91840744018555,607.48193359375,608.48193359375,4.385542392730713,0.5503752827644348,9.86672592163086,9.86672592163086,0.027260836213827133,934.5069580078125,0.00027150780078954995,0.1905025988817215,0.004526079632341862,0.3582618236541748
550000,-2.3841856489070778e-07,0.44446155428886414,1.0,-10743.623046875,-56.8395881652832,480.1634521484375,481.1634521484375,4.836538314819336,0.5519856214523315,11.536048889160156,11.536048889160156,0.025509076192975044,1065.220703125,0.00026841662474907935,0.18947219848632812,0.004474662709981203,0.35052669048309326
600000,-2.3841856489070778e-07,0.44446155428886414,1.0,-12013.154296875,-61.02088928222656,499999.0,500000.0,0.0,0.0003484911867417395,12.048791885375977,12.048791885375977,0.02669578045606613,1207.5687255859375,0.0002653254196047783,0.18844179809093475,0.004423245787620544,0.34370529651641846
650000,0.025450019165873528,0.05735111981630325,0.0,-134.01309204101562,0.48896118998527527,407.23577880859375,408.23577880859375,4.967479705810547,0.5768454670906067,-12599.451171875,-12599.451171875,0.022553639486432076,48.45713806152344,0.00026254524709656835,0.18751507997512817,0.004377002362161875,0.33953484892845154
700000,-2.3841856489070778e-07,0.055539775639772415,0.0,-413.3084411621094,1.4935283660888672,409.4262390136719,410.4262390136719,4.893442630767822,0.5737964510917664,12.05307674407959,12.05307674407959,0.02636430598795414,0.04393552616238594,0.0002597631828393787,0.18658772110939026,0.004330727271735668,0.33689478039741516
750000,-2.3841856489070778e-07,0.055539775639772415,0.0,-691.662841796875,1.263442039489746,390.6220397949219,391.6220397949219,4.952755928039551,0.5882568359375,12.248565673828125,12.248565673828125,0.022950429469347,0.03553099185228348,0.00025667197769507766,0.1855573207139969,0.0042793103493750095,0.33443698287010193
800000,-2.3841856489070778e-07,0.055539775639772415,0.0,-969.4238891601562,0.5657358765602112,387.6278991699219,388.6278991699219,5.0,0.6090733408927917,12.515711784362793,12.515711784362793,0.023638783022761345,0.010859722271561623,0.0002535807725507766,0.18452692031860352,0.004227893427014351,0.3301827311515808
850000,-2.3841856489070778e-07,0.055539775639772415,0.0,-1249.3544921875,0.005758732557296753,419.100830078125,420.100830078125,4.991596698760986,0.5804750323295593,12.395657539367676,12.395657539367676,0.024216217920184135,0.002157423412427306,0.00025048956740647554,0.18349651992321014,0.004176476504653692,0.3273569941520691
900000,-2.3841856489070778e-07,0.055539775639772415,0.0,-1530.2060546875,-0.2773389220237732,357.4356994628906,358.4356994628906,4.964285850524902,0.6412002444267273,12.315958976745605,12.315958976745605,0.022007102146744728,0.0004377190489321947,0.00024739839136600494,0.18246611952781677,0.004125059582293034,0.3246014714241028
950000,-2.3841856489070778e-07,0.055539775639772415,0.0,-1811.0576171875,-0.46629589796066284,342.99310302734375,343.99310302734375,4.972414016723633,0.6349298357963562,12.387166976928711,12.387166976928711,0.023291120305657387,4.9995323934126645e-05,0.0002443071862217039,0.1814357191324234,0.004073642659932375,0.321181058883667
1000000,-2.3841856489070778e-07,0.055539775639772415,0.0,-2088.246337890625,-0.5767871737480164,351.6337890625,352.6337890625,4.97183084487915,0.6264427900314331,12.253015518188477,12.253015518188477,0.02550467662513256,4.5248143578646705e-06,0.0002415250928606838,0.18050836026668549,0.004027367103844881,0.31205451488494873
1050000,-2.3841856489070778e-07,0.055539775639772415,0.0,-2357.156982421875,-0.6281270384788513,341.46575927734375,342.46575927734375,5.0,0.6416321992874146,12.504729270935059,12.504729270935059,0.022642221301794052,2.593676072137896e-05,0.00023874301405157894,0.17958100140094757,0.0039810920134186745,0.3132439851760864
1100000,-2.3841856489070778e-07,0.055539775639772415,0.0,-2625.711669921875,-0.6508916616439819,499999.0,500000.0,1.0,0.0002297638129675761,12.565227508544922,12.565227508544922,0.020624518394470215,4.556142812361941e-05,0.0002356518234591931,0.1785506010055542,0.003929675091058016,0.310374915599823
